state_code,district_code,region_name,enumeration_code,floating_pop,subdistrict_code,village_code
35,0,ANDAMAN & NICOBAR ISLANDS,Total,9278,0,0
35,0,ANDAMAN & NICOBAR ISLANDS,Rural,6089,0,0
35,0,ANDAMAN & NICOBAR ISLANDS,Urban,3189,0,0
35,638,Nicobars,Total,1979,0,0
35,638,Nicobars,Rural,1979,0,0
35,638,Nicobars,Urban,0,0,0
35,639,North  & Middle Andaman,Total,2128,0,0
35,639,North  & Middle Andaman,Rural,2087,0,0
35,639,North  & Middle Andaman,Urban,41,0,0
35,640,South Andaman,Total,5171,0,0
35,640,South Andaman,Rural,2023,0,0
35,640,South Andaman,Urban,3148,0,0
28,0,ANDHRA PRADESH,Total,575555,0,0
28,0,ANDHRA PRADESH,Rural,287464,0,0
28,0,ANDHRA PRADESH,Urban,288091,0,0
28,532,Adilabad,Total,9215,0,0
28,532,Adilabad,Rural,4927,0,0
28,532,Adilabad,Urban,4288,0,0
28,533,Nizamabad,Total,10260,0,0
28,533,Nizamabad,Rural,7775,0,0
28,533,Nizamabad,Urban,2485,0,0
28,534,Karimnagar,Total,13178,0,0
28,534,Karimnagar,Rural,8795,0,0
28,534,Karimnagar,Urban,4383,0,0
28,535,Medak,Total,16812,0,0
28,535,Medak,Rural,9009,0,0
28,535,Medak,Urban,7803,0,0
28,536,Hyderabad,Total,32114,0,0
28,536,Hyderabad,Rural,0,0,0
28,536,Hyderabad,Urban,32114,0,0
28,537,Rangareddy,Total,63699,0,0
28,537,Rangareddy,Rural,11193,0,0
28,537,Rangareddy,Urban,52506,0,0
28,538,Mahbubnagar,Total,11963,0,0
28,538,Mahbubnagar,Rural,7486,0,0
28,538,Mahbubnagar,Urban,4477,0,0
28,539,Nalgonda,Total,22546,0,0
28,539,Nalgonda,Rural,13210,0,0
28,539,Nalgonda,Urban,9336,0,0
28,540,Warangal,Total,18463,0,0
28,540,Warangal,Rural,8366,0,0
28,540,Warangal,Urban,10097,0,0
28,541,Khammam,Total,22844,0,0
28,541,Khammam,Rural,15674,0,0
28,541,Khammam,Urban,7170,0,0
28,542,Srikakulam,Total,16850,0,0
28,542,Srikakulam,Rural,12744,0,0
28,542,Srikakulam,Urban,4106,0,0
28,543,Vizianagaram,Total,15747,0,0
28,543,Vizianagaram,Rural,10495,0,0
28,543,Vizianagaram,Urban,5252,0,0
28,544,Visakhapatnam,Total,31889,0,0
28,544,Visakhapatnam,Rural,13252,0,0
28,544,Visakhapatnam,Urban,18637,0,0
28,545,East Godavari,Total,34291,0,0
28,545,East Godavari,Rural,21747,0,0
28,545,East Godavari,Urban,12544,0,0
28,546,West Godavari,Total,29385,0,0
28,546,West Godavari,Rural,22002,0,0
28,546,West Godavari,Urban,7383,0,0
28,547,Krishna,Total,50518,0,0
28,547,Krishna,Rural,20933,0,0
28,547,Krishna,Urban,29585,0,0
28,548,Guntur,Total,40767,0,0
28,548,Guntur,Rural,22632,0,0
28,548,Guntur,Urban,18135,0,0
28,549,Prakasam,Total,20769,0,0
28,549,Prakasam,Rural,14329,0,0
28,549,Prakasam,Urban,6440,0,0
28,550,Sri Potti Sriramulu Nellore,Total,22755,0,0
28,550,Sri Potti Sriramulu Nellore,Rural,15743,0,0
28,550,Sri Potti Sriramulu Nellore,Urban,7012,0,0
28,551,Y.S.R.,Total,18077,0,0
28,551,Y.S.R.,Rural,11569,0,0
28,551,Y.S.R.,Urban,6508,0,0
28,552,Kurnool,Total,17491,0,0
28,552,Kurnool,Rural,9623,0,0
28,552,Kurnool,Urban,7868,0,0
