district_id,district_name,state_id_id
603,Nicobars,35
632,North And Middle Andaman,35
602,South Andamans,35
505,East Godavari,28
523,West Godavari,28
519,Srikakulam,28
521,Vizianagaram,28
520,Visakhapatanam,28
510,Krishna,28
506,Guntur,28
517,Prakasam,28
515,SPSR Nellore,28
504,Y.S.R.,28
511,Kurnool,28
502,Anantapur,28
503,Chittoor,28
238,Tawang,12
242,West Kameng,12
723,Pakke Kessang,12
231,East Kameng,12
237,Papum Pare,12
241,Upper Subansiri,12
725,Shi Yomi,12
679,Siang,12
243,West Siang,12
724,Leparada,12
719,Lower Siang,12
232,East Siang,12
240,Upper Siang,12
229,Changlang,12
239,Tirap,12
666,Longding,12
236,Lower Subansiri,12
718,Kamle,12
677,Kra Daadi,12
233,Kurung Kumey,12
230,Dibang Valley,12
235,Lower Dibang Valley,12
234,Lohit,12
678,Namsai,12
628,Anjaw,12
294,Kokrajhar,18
285,Dhubri,18
707,South Salmara Mancachar,18
287,Goalpara,18
280,Barpeta,18
296,Marigaon,18
297,Nagaon,18
709,Hojai,18
301,Sonitpur,18
705,Biswanath,18
295,Lakhimpur,18
284,Dhemaji,18
302,Tinsukia,18
286,Dibrugarh,18
300,Sivasagar,18
708,Charaideo,18
706,Majuli,18
290,Jorhat,18
288,Golaghat,18
710,West Karbi Anglong,18
292,Karbi Anglong,18
299,Dima Hasao,18
282,Cachar,18
293,Karimganj,18
289,Hailakandi,18
281,Bongaigaon,18
612,Chirang,18
291,Kamrup,18
618,Kamrup Metro,18
298,Nalbari,18
616,Baksa,18
283,Darrang,18
617,Udalguri,18
211,Pashchim Champaran,10
213,Purbi Champaran,10
220,Sheohar,10
221,Sitamarhi,10
206,Madhubani,10
223,Supaul,10
188,Araria,10
203,Kishanganj,10
214,Purnia,10
201,Katihar,10
205,Madhepura,10
216,Saharsa,10
195,Darbhanga,10
208,Muzaffarpur,10
197,Gopalganj,10
222,Siwan,10
218,Saran,10
224,Vaishali,10
217,Samastipur,10
191,Begusarai,10
202,Khagaria,10
192,Bhagalpur,10
190,Banka,10
207,Munger,10
204,Lakhisarai,10
219,Sheikhpura,10
209,Nalanda,10
212,Patna,10
193,Bhojpur,10
194,Buxar,10
200,Kaimur (Bhabua),10
215,Rohtas,10
189,Aurangabad,10
196,Gaya,10
210,Nawada,10
198,Jamui,10
199,Jehanabad,10
611,Arwal,10
384,Korea,22
649,Balrampur,22
648,Surajpur,22
389,Surguja,22
380,Jashpur,22
386,Raigarh,22
383,Korba,22
379,Janjgir-Champa,22
734,Gaurella Pendra Marwahi,22
647,Mungeli,22
375,Bilaspur,22
382,Kabirdham,22
388,Rajnandgaon,22
650,Bemetara,22
378,Durg,22
646,Balod,22
644,Baloda Bazar,22
387,Raipur,22
645,Gariyaband,22
385,Mahasamund,22
377,Dhamtari,22
381,Kanker,22
643,Kondagaon,22
374,Bastar,22
637,Narayanpur,22
376,Dantewada,22
642,Sukma,22
636,Bijapur,22
44,Chandigarh,4
464,Diu,38
463,Daman,38
80,North,7
82,North West,7
77,Central,7
81,North East,7
671,Shahdara,7
78,East,7
79,New Delhi,7
85,West,7
84,South West,7
83,South,7
670,South East,7
465,Dadra And Nagar Haveli,38
551,North Goa,30
552,South Goa,30
449,Kachchh,24
441,Banas Kantha,24
455,Patan,24
451,Mahesana,24
458,Sabar Kantha,24
672,Arvalli,24
446,Gandhinagar,24
438,Ahmadabad,24
676,Botad,24
673,Morbi,24
460,Surendranagar,24
457,Rajkot,24
674,Devbhumi Dwarka,24
447,Jamnagar,24
456,Porbandar,24
448,Junagadh,24
675,Gir Somnath,24
439,Amreli,24
443,Bhavnagar,24
440,Anand,24
450,Kheda,24
669,Mahisagar,24
454,Panch Mahals,24
445,Dohad,24
461,Vadodara,24
668,Chhotaudepur,24
452,Narmada,24
442,Bharuch,24
444,Dang,24
453,Navsari,24
462,Valsad,24
459,Surat,24
641,Tapi,24
16,Chamba,2
18,Kangra,2
21,Lahul &amp; Spiti,2
20,Kullu,2
22,Mandi,2
17,Hamirpur,2
26,Una,2
15,Bilaspur,2
25,Solan,2
24,Sirmaur,2
23,Shimla,2
19,Kinnaur,2
70,Panchkula,6
58,Ambala,6
76,Yamunanagar,6
68,Kurukshetra,6
66,Kaithal,6
67,Karnal,6
71,Panipat,6
75,Sonipat,6
65,Jind,6
61,Fatehabad,6
74,Sirsa,6
63,Hisar,6
59,Bhiwani,6
701,Charki Dadri,6
73,Rohtak,6
