subdistrict,NAME_1,populatiuon,sewage_2055,Subdistric,,,,,,,
Bhadohi,Hardua,6450,0.731437343,994,,,,,,,
Bhadohi,Bhanda,5435,0.616329865,994,,,,,,,
Bhadohi,Ram Nagar,4416,0.500818501,994,,,,,,,
Bhadohi,Kirtipur Z.Abhia,392,0.044427448,994,,,,,,,
Bhadohi,Amiya,1213,0.137523145,994,,,,,,,
Bhadohi,Chakjitrai,280,0.031705042,994,,,,,,,
Bhadohi,Sanda,1535,0.174074818,994,,,,,,,
Bhadohi,Pure Badal,671,0.07613249,994,,,,,,,
Bhadohi,Mardanpur Shahpur,741,0.084008265,994,,,,,,,
Bhadohi,Pure Khushal,1207,0.136917316,994,,,,,,,
Bhadohi,Bhujani,402,0.045639105,994,,,,,,,
Bhadohi,Karanpur,1683,0.190836082,994,,,,,,,
Bhadohi,Sari Kansrai,3412,0.386922681,994,,,,,,,
Bhadohi,Pure Manohar,1743,0.197702142,994,,,,,,,
Bhadohi,Sherpur Gopalha,5702,0.646621307,994,,,,,,,
Bhadohi,Payagpur,1622,0.183970022,994,,,,,,,
Bhadohi,Tulapur,367,0.041600247,994,,,,,,,
Bhadohi,Naval Kapura Or Navalpur,404,0.045841049,994,,,,,,,
Bhadohi,Pandepur,922,0.104606445,994,,,,,,,
Bhadohi,Balikapur,1036,0.117530793,994,,,,,,,
Bhadohi,Chhatama,686,0.077748034,994,,,,,,,
Bhadohi,Misrainpur,2848,0.322906767,994,,,,,,,
Bhadohi,Ghuripur,602,0.068256715,994,,,,,,,
Bhadohi,Kirtipur Z. Kariyaon,1186,0.134494001,994,,,,,,,
Bhadohi,Manikpatti,1768,0.200529344,994,,,,,,,
Bhadohi,Eiyatee Or Iyaee,721,0.081786892,994,,,,,,,
Bhadohi,Chak Bhagwan,78,0.00888549,994,,,,,,,
Bhadohi,Balbhadarpur,1364,0.154688295,994,,,,,,,
Bhadohi,Chak Baijoo,41,0.004644688,994,,,,,,,
Bhadohi,Bahuta Chakdahi,4146,0.470123174,994,,,,,,,
Bhadohi,Manidih,917,0.104000616,994,,,,,,,
Bhadohi,Pure Dariaw,524,0.059371225,994,,,,,,,
Bhadohi,Haripur,3528,0.400048972,994,,,,,,,
Bhadohi,Bisakapura,1243,0.140956175,994,,,,,,,
Bhadohi,Kumbhapur,230,0.026050639,994,,,,,,,
Bhadohi,Kathar Z.Pandepur,921,0.104404502,994,,,,,,,
Bhadohi,Kathar Z.Serpur,287,0.032512814,994,,,,,,,
Bhadohi,Rampur Harnam,1255,0.142369776,994,,,,,,,
Bhadohi,Chaklokai,151,0.017165151,994,,,,,,,
Bhadohi,Tulapur Bhaduran,3508,0.397827599,994,,,,,,,
Bhadohi,Bachha Patti,158,0.017972922,994,,,,,,,
Bhadohi,Bahuta Sardar,463,0.052505165,994,,,,,,,
Bhadohi,Chak Banwari,1145,0.129849313,994,,,,,,,
Bhadohi,Bhauthar,1743,0.197702142,994,,,,,,,
Bhadohi,Hariharpur,1254,0.142167833,994,,,,,,,
Bhadohi,Tulsipur Z.Sherpur,463,0.052505165,994,,,,,,,
Bhadohi,Bhagirathipur,1295,0.14681252,994,,,,,,,
Bhadohi,Bisahi,618,0.070074202,994,,,,,,,
Bhadohi,Kurhwa,4632,0.525253598,994,,,,,,,
Bhadohi,Navtardud Bhojawa,57,0.006462175,994,,,,,,,
Bhadohi,Nidiura,714,0.080979121,994,,,,,,,
