subdistrict_id,subdistrict_name,district_id_id
1,Kupwara,8
2,Handwara,8
3,Karnah,8
4,Khag,2
5,Beerwah,2
6,Khansahib,2
7,Budgam,2
8,Chadoora,2
9,Charar- E- Shrief,2
10,Leh,9
11,Nubra,9
12,Khalsi,9
13,Kargil,6
14,Sanku,6
15,Zanskar,6
16,Haveli,10
17,Mandi,10
18,Mendhar,10
19,Surankote,10
20,Thana Mandi,12
21,Darhal,12
22,Rajouri,12
24,Kalakote,12
25,Nowshera,12
26,Sundarbani,12
27,Billawar,7
28,Basohli,7
29,Bani,7
30,Kathua,7
31,Hiranagar,7
32,Sopore,3
33,Rafiabad,3
34,Pattan,3
35,Baramulla,3
36,Kreeri,3
37,Uri,3
38,Boniyar,3
39,Tangmarg,3
40,Gurez,623
41,Bandipora,623
42,Sonawari,623
43,Srinagar (North),13
44,Srinagar (South),13
45,Lar,626
46,Kangan,626
47,Ganderbal,626
48,Pampore,11
49,Awantipora,11
50,Tral,11
51,Pulwama,11
52,Shopian,625
53,Pahalgam,1
54,Bijbehara,1
55,Anantnag,1
56,Shangus,1
57,Kokernag,1
58,Dooru,1
59,Kulgam,622
60,Devsar,622
61,D H Pora,622
62,Doda,4
63,Thathri,4
65,Bhaderwah,4
66,Banihal,621
67,Ramban,621
68,Kishtwar,620
69,Marwah,620
70,Chhatroo,620
71,Atholi (Paddar),620
72,Udhampur,14
73,Chenani,14
74,Ramnagar,14
75,Majalta,14
77,Reasi,627
78,Akhnoor,5
79,Jammu,5
80,Ranbir Singh Pura,5
81,Bishnah,5
82,Samba,624
83,Pangi,16
84,Churah,16
85,Saluni,16
86,Bhalai,16
87,Dalhousie,16
88,Bhattiyat,16
89,Sihunta,16
90,Chamba,16
91,Holi,16
92,Bharmour,16
93,Nurpur,18
94,Indora,18
95,Fatehpur,18
96,Jawali,18
97,Harchakian,18
98,Shahpur,18
99,Dharmsala,18
100,Kangra,18
101,Nagrota Bagwan,18
102,Baroh,18
103,Dera Gopipur,18
104,Jawalamukhi,18
105,Jaswan,18
106,Rakkar,18
107,Khundian,18
108,Thural,18
109,Dhira,18
110,Jaisinghpur,18
111,Palampur,18
112,Baijnath,18
113,Multhan,18
114,Udaipur,21
115,Lahul,21
116,Spiti,21
117,Manali,20
118,Kullu,20
119,Sainj,20
120,Banjar,20
121,Ani,20
122,Nirmand,20
123,Padhar,22
124,Jogindarnagar,22
125,Lad Bharol,22
126,Sandhol,22
127,Dharmpur,22
128,Kotli,22
129,Sarkaghat,22
130,Bhadrota,22
131,Baldwara,22
132,Sundarnagar,22
133,Mandi,22
134,Aut,22
135,Bali Chowki,22
136,Thunag,22
137,Chachyot,22
138,Nihri,22
139,Karsog,22
140,Tira Sujanpur,17
141,Nadaun,17
142,Galore,17
143,Hamirpur,17
144,Barsar,17
145,Dhatwal,17
146,Bhoranj,17
147,Bharwain,26
148,Amb,26
149,Bangana,26
150,Una,26
151,Haroli,26
152,Ghumarwin,15
153,Bharari,15
154,Jhanduta,15
155,Naina Devi,15
156,Bilaspur Sadar,15
157,Namhol,15
158,Arki,25
159,Darlaghat,25
160,Ramshahr,25
161,Nalagarh,25
162,Baddi,25
163,Krishangarh,25
164,Kasauli,25
165,Solan,25
166,Kandaghat,25
167,Rajgarh,24
168,Nohra,24
169,Pachhad,24
170,Renuka,24
171,Dadahu,24
172,Nahan,24
173,Paonta Sahib,24
174,Kamrau,24
175,Shalai,24
176,Ronhat,24
177,Rampur,23
178,Nankhari,23
179,Kumarsain,23
180,Sunni,23
181,Shimla(Rural),23
182,Shimla(urban),23
183,Junga,23
184,Theog,23
185,Chaupal,23
186,Cheta,23
187,Nerwa,23
188,Jubbal,23
189,Kotkhai,23
190,Tikar,23
191,Rohru,23
192,Chirgaon,23
193,Dodra Kwar,23
194,Hangrang,19
195,Poo,19
196,Morang,19
197,Kalpa,19
198,Nichar,19
199,Sangla,19
200,Dhar Kalan,662
201,Pathankot,662
202,Gurdaspur,32
203,Batala,32
204,Dera Baba Nanak,32
205,Bhulath,35
206,Kapurthala,35
207,Sultanpur Lodhi,35
208,Phagwara,35
209,Shahkot,34
210,Nakodar,34
211,Phillaur,34
212,Jalandhar - I,34
213,Jalandhar - II,34
214,Dasua,33
215,Mukerian,33
216,Hoshiarpur,33
217,Garhshankar,33
218,Nawanshahr,40
219,Balachaur,40
220,Bassi Pathana,30
221,Fatehgarh Sahib,30
222,Amloh,30
223,Khamanon,30
224,Samrala,36
225,Khanna,36
226,Payal,36
227,Ludhiana (East),36
228,Ludhiana (West),36
229,Raikot,36
230,Jagraon,36
231,Nihal Singhwala,38
232,Bagha Purana,38
233,Moga,38
234,Zira,31
235,Firozpur,31
236,Jalalabad,651
237,Fazilka,651
238,Abohar,651
239,Malout,39
240,Gidderbaha,39
241,Muktsar,39
242,Faridkot,29
243,Jaitu,29
244,Rampura Phul,28
245,Bathinda,28
246,Talwandi Sabo,28
247,Sardulgarh,37
248,Budhlada,37
249,Mansa,37
250,Samana,41
251,Patran,41
252,Nabha,41
253,Patiala,41
254,Rajpura,41
255,Ajnala,27
256,Amritsar -I,27
257,Amritsar- II,27
258,Baba Bakala,27
259,Tarn Taran,609
260,Patti,609
261,Khadur Sahib,609
262,Anandpur Sahib,42
263,Nangal,42
264,Rup Nagar,42
265,Chamkaur Sahib,42
266,Kharar,608
267,SAS Nagar (Mohali),608
268,Dera Bassi,608
269,Malerkotla,43
270,Dhuri,43
271,Sangrur,43
272,Sunam,43
273,Lehra,43
274,Moonak,43
275,Barnala,605
276,Tapa,605
277,Chandigarh,44
278,Puraula,57
279,Mori,57
280,Rajgarhi,57
281,Dunda,57
282,Chinyali Saur,57
283,Bhatwari,57
284,Joshimath,47
285,Chamoli,47
286,Pokhari,47
287,Karnaprayag,47
288,Tharali,47
289,Gairsain,47
290,Ukhimath,54
291,Rudraprayag,54
292,Jakholi,54
293,Ghansali,55
294,Devprayag,55
295,Pratapnagar,55
296,Jakhani Dhar,55
297,Tehri,55
298,Dhanaulti,55
299,Narendra Nagar,55
300,Chakrata,49
301,Tyuni,49
302,Kalsi,49
303,Vikas Nagar,49
304,Dehradun,49
305,Rishikesh,49
306,Srinagar,52
307,Pauri,52
308,Thailisain,52
309,Dhoomakot,52
310,Lansdowne,52
311,Satpuli,52
312,Chaubatta Khal,52
313,Kotdwara,52
314,Yamkeshwar,52
315,Munsiari,53
316,Dharchula,53
317,Didihat,53
318,Berinag,53
319,Gangolihat,53
320,Pithoragarh,53
321,Kapkot,46
322,Kanda,46
323,Bageshwar,46
324,Garud,46
325,Bhikiasain,45
326,Chaukhutiya,45
327,Sult,45
328,Ranikhet,45
329,Dwarahat,45
330,Almora,45
331,Someshwar,45
332,Jainti,45
333,Bhanoli,45
334,Champawat,48
335,Pati,48
336,Lohaghat,48
337,Poornagiri,48
338,Kosya Kutauli,51
339,Betalghat,51
340,Nainital,51
341,Dhari,51
342,Haldwani,51
343,Ramnagar,51
344,Kaladhungi,51
345,Lalkuan,51
346,Kashipur,56
347,Jaspur,56
348,Bajpur,56
349,Kichha,56
350,Gadarpur,56
351,Sitarganj,56
352,Khatima,56
353,Roorkee,50
354,Hardwar,50
355,Laksar,50
356,Kalka,70
357,Panchkula,70
358,Naraingarh,58
359,Ambala,58
360,Barara,58
361,Jagadhri,76
362,Bilaspur,76
363,Chhachhrauli,76
364,Shahbad,68
365,Pehowa,68
366,Thanesar,68
367,Guhla,66
368,Kaithal,66
369,Fatehpur Pundri,66
370,Nilokheri,67
371,Indri,67
372,Karnal,67
373,Assandh,67
374,Gharaunda,67
375,Panipat,71
376,Israna,71
377,Samalkha,71
378,Gohana,75
379,Ganaur,75
380,Sonipat,75
381,Kharkhoda,75
382,Narwana,65
383,Jind,65
384,Julana,65
385,Safidon,65
386,Ratia,61
387,Tohana,61
388,Fatehabad,61
389,Dabwali,74
390,Sirsa,74
391,Rania,74
392,Ellenabad,74
393,Adampur,63
394,Hisar,63
395,Narnaund,63
396,Hansi,63
397,Bawani Khera,59
398,Bhiwani,59
399,Tosham,59
400,Siwani,59
401,Loharu,59
402,Dadri,701
403,Badhra,701
404,Maham,73
405,Rohtak,73
406,Sampla,73
407,Beri,64
408,Bahadurgarh,64
409,Jhajjar,64
410,Matenhail,64
411,Mahendragarh,69
412,Narnaul,69
413,Kosli,72
414,Rewari,72
415,Bawal,72
416,Pataudi,62
417,Gurgaon,62
418,Farrukhnagar,62
419,Manesar,62
420,Sohna,62
421,Taoru,604
422,Nuh,604
423,Ferozepur Jhirka,604
424,Punahana,604
425,Faridabad,60
426,Ballabgarh,60
427,Palwal,619
428,Hathin,619
429,Hodal,619
430,Narela,80
431,Saraswati Vihar,82
432,Model Town,80
433,Civil Lines,77
434,Sadar Bazar,77
435,Kotwali,77
436,Seelam Pur,81
437,Shahdara,671
438,Seema Puri,671
439,Gandhi Nagar,78
